Lon, Lat, Population
175.859772, -36.994762, 6.000000
174.644546, -36.879463, 21.000000
174.043549, -39.081047, 6.000000
174.256927, -35.526390, 27.000000
171.888626, -41.598049, 12.000000
168.335175, -46.381817, 42.000000
174.124725, -35.282009, 0.000000
174.851364, -41.111347, 60.000000
174.781250, -41.311504, 9.000000
175.844177, -37.397621, 69.000000
176.228378, -39.768452, 12.000000
172.608261, -43.468891, 27.000000
174.895950, -36.972485, 51.000000
173.226074, -41.324413, 21.000000
174.802795, -41.203735, 57.000000
175.667450, -40.944508, 0.000000
174.841599, -36.876907, 27.000000
175.629852, -40.338341, 9.000000
175.603577, -40.359009, 0.000000
175.193130, -37.713093, 33.000000
178.314392, -37.782452, 6.000000
175.322342, -38.837593, 0.000000
174.897293, -37.047302, 39.000000
176.187729, -37.729462, 21.000000
172.607590, -43.559772, 33.000000
174.768143, -41.295998, 15.000000
173.375992, -35.132072, 9.000000
174.785355, -41.312450, 24.000000
174.296875, -35.681702, 42.000000
174.743378, -36.850983, 12.000000
174.724701, -36.811169, 0.000000
174.557358, -36.119469, 21.000000
174.759323, -36.897263, 48.000000
176.094727, -38.685711, 39.000000
174.713028, -36.865578, 39.000000
174.867416, -37.043957, 60.000000
176.034195, -38.394962, 0.000000
174.743164, -36.896374, 30.000000
173.190750, -41.338039, 51.000000
174.772812, -36.848656, 9.000000
176.992416, -39.815212, 6.000000
172.524048, -43.350578, 15.000000
174.259552, -39.604900, 30.000000
174.938415, -36.900562, 12.000000
174.317429, -35.724598, 0.000000
174.542511, -36.844090, 3.000000
174.845001, -36.941586, 30.000000
171.071411, -44.659714, 27.000000
174.779938, -41.311508, 9.000000
175.126495, -41.102173, 66.000000
175.543976, -37.136715, 0.000000
171.328659, -42.451775, 3.000000
175.208679, -40.048485, 24.000000
175.581573, -37.644699, 9.000000
176.263718, -37.695423, 21.000000
174.725937, -36.796200, 36.000000
176.960220, -38.175686, 15.000000
175.548920, -41.032654, 21.000000
172.651703, -43.534611, 3.000000
174.931091, -41.204155, 12.000000
175.235931, -37.773991, 15.000000
174.792633, -41.292179, 33.000000
174.871139, -36.952122, 42.000000
174.864532, -36.986366, 0.000000
176.892899, -39.792774, 78.000000
175.253357, -37.729794, 39.000000
174.739212, -36.709988, 18.000000
174.819916, -36.995388, 3.000000
170.482208, -45.867577, 21.000000
175.496445, -40.143036, 45.000000
174.734406, -36.750603, 21.000000
172.645050, -43.506977, 27.000000
177.278275, -38.006348, 48.000000
174.935532, -36.888615, 27.000000
174.876495, -37.002056, 6.000000
176.180908, -40.146214, 9.000000
170.095138, -44.484200, 0.000000
174.575653, -36.114132, 6.000000
175.152908, -40.753384, 3.000000
174.382690, -35.662891, 72.000000
172.608566, -43.546669, 42.000000
174.866242, -41.129425, 27.000000
176.919601, -39.654446, 33.000000
174.794098, -36.813309, 36.000000
175.647492, -40.288368, 3.000000
174.558060, -36.873013, 72.000000
172.626495, -43.470879, 27.000000
175.301361, -37.776981, 33.000000
174.728561, -36.879810, 27.000000
174.824249, -41.152603, 3.000000
174.915146, -36.893257, 36.000000
174.893448, -36.909904, 39.000000
174.633865, -36.903137, 18.000000
175.758743, -40.284729, 72.000000
175.330887, -37.793308, 21.000000
172.629959, -43.443619, 18.000000
174.840454, -36.872643, 6.000000
174.751160, -36.758945, 0.000000
175.927460, -37.553627, 54.000000
176.034561, -38.698036, 15.000000
176.906082, -39.514244, 15.000000
176.082214, -38.719658, 21.000000
171.765518, -43.903259, 27.000000
176.983292, -38.002537, 6.000000
169.187515, -44.679161, 9.000000
174.832275, -36.954803, 0.000000
170.346497, -45.873192, 9.000000
175.651169, -40.322895, 33.000000
174.689163, -36.806755, 69.000000
172.670395, -43.537380, 36.000000
176.266769, -37.698814, 48.000000
174.773590, -36.784618, 18.000000
177.951752, -38.648788, 24.000000
174.932175, -37.104630, 54.000000
174.068298, -39.057198, 18.000000
172.602097, -43.581734, 39.000000
172.452866, -43.654232, 12.000000
174.485306, -35.766819, 6.000000
175.157913, -37.662601, 87.000000
174.878662, -36.973564, 42.000000
174.231415, -38.995712, 15.000000
170.102386, -45.131008, 30.000000
174.795532, -41.220470, 54.000000
167.712326, -45.412689, 9.000000
174.321243, -35.690968, 15.000000
174.758804, -36.323395, 63.000000
174.904388, -36.994175, 75.000000
172.678268, -43.516895, 6.000000
174.697571, -36.912533, 33.000000
173.005798, -41.130215, 24.000000
178.028442, -38.667374, 0.000000
175.062958, -39.924011, 3.000000
175.889847, -38.223431, 6.000000
176.227631, -37.670845, 39.000000
174.925095, -37.046112, 18.000000
174.647751, -36.748177, 9.000000
174.818100, -36.898113, 15.000000
176.330811, -38.112129, 21.000000
175.058685, -37.188972, 6.000000
174.720276, -36.876911, 30.000000
174.915909, -37.024837, 66.000000
170.477737, -45.889626, 27.000000
172.609222, -43.456718, 66.000000
